iso_code,continent,location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,classification,gov_type,corruption,development,land_cond,GDP_per_energy,pop_total,urban_pop_p,cluster_num
ALB,Europe,Albania,44436,936,15440.962,325.248,2877800,104.871,38,13.188,8.643,11803.431,304.195,10.08,7.1,51.2,2.89,78.57,0.785,NC,par_rep,highly,transition,sea_access,132.363.361,2889104,56.423,1
ARE,Asia,United Arab Emirates,178837,596,18081.877,60.26,9890400,112.442,34,1.144,0.526,67293.483,317.84,17.26,1.2,37.4,1.2,77.97,0.863,NC,const_mon,less,developing,sea_access,8.221.288.632,9214175,85.375,2
ARG,South America,Argentina,1469919,40009,32523.37,885.238,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.825,NC,pres_rep,highly,developing,sea_access,9.327.942.057,42669500,91.377,2
AUT,Europe,Austria,308070,4002,34205.676,444.351,9006400,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,7.37,81.54,0.908,OECD,par_rep,less,developed,landlocked,1.175.738.453,8546356,57.526,3
AZE,Asia,Azerbaijan,154152,1713,15203.604,168.949,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,4.7,73,0.757,NC,semi_pres_rep,highly,transition,landlocked,1.122.016.738,9535079,54.422,1
BEL,Europe,Belgium,594572,17507,51302.131,1510.576,11589616,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,25.1,31.4,5.64,81.63,0.916,OECD,const_mon,less,developed,sea_access,8.803.152.074,11209057,97.833,3
BEN,Africa,Benin,3073,44,253.481,3.629,12123198,99.11,18.8,3.244,1.942,2064.236,235.848,0.99,0.6,12.3,0.5,61.77,0.515,NC,pres_rep,highly,developing,sea_access,4.801.097.938,10286842,45.166,4
BGD,Asia,Bangladesh,481945,6906,2926.388,41.933,164689383,1265.036,27.5,5.098,3.262,3523.984,298.003,8.38,1,44.7,0.8,72.59,0.608,NC,par_rep,highly,developing,sea_access,1.337.876.063,154520167,33.535,4
BGR,Europe,Bulgaria,168165,5156,24201.818,742.037,6948445,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,7.454,75.05,0.813,NC,par_rep,highly,developing,sea_access,6.588.623.049,7223938,73.651,1
BHR,Asia,Bahrain,88294,343,51889.329,201.577,1701583,1935.907,32.4,2.372,1.387,43290.705,151.689,16.52,5.8,37.6,2,77.29,0.846,NC,const_mon,highly,developing,islands,4.137.815.339,1336075,88.915,2
BIH,Europe,Bosnia and Herzegovina,96021,3081,29267.423,939.096,3280815,68.496,42.5,16.569,10.711,11713.895,329.635,10.08,30.2,47.7,3.5,77.4,0.768,NC,par_rep,highly,developing,sea_access,4.799.202.951,3482104,46.84,1
BLR,Europe,Belarus,150602,1222,15937.865,129.321,9449321,46.858,40.3,14.799,9.788,17167.967,443.129,5.18,10.5,46.1,11,74.79,0.808,NC,pres_rep,highly,transition,landlocked,6.123.687.527,9474511,76.693,1
BRA,South America,Brazil,6674999,178159,31402.981,838.161,212559409,25.04,33.5,8.552,5.06,14103.452,177.961,8.11,10.1,17.9,2.2,75.88,0.759,BRICS,pres_rep,highly,developing,sea_access,1.035.134.832,202763735,85.492,2
BWA,Africa,Botswana,12058,36,5127.518,15.309,2351625,4.044,25.8,3.941,2.242,15807.374,237.372,4.81,5.7,34.4,1.8,69.59,0.717,NC,par_rep,less,developing,landlocked,1.243.640.101,2088614,66.368,4
CAN,North America,Canada,432743,12887,11465.773,341.448,37742157,4.037,41.4,16.984,10.797,44017.591,105.599,7.37,12,16.6,2.5,82.43,0.926,OECD,const_mon,less,developed,sea_access,5.463.454.706,35437435,81.218,3
CHE,Europe,Switzerland,358568,5593,41430.829,646.245,8654618,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,4.53,83.78,0.944,OECD,par_rep,less,developed,landlocked,1.869.908.692,8188649,73.696,3
CHL,South America,Chile,563534,15680,29479.381,820.246,19116209,24.282,35.4,11.087,6.938,22767.037,127.993,8.46,34.2,41.5,2.11,80.18,0.843,OECD,pres_rep,less,developing,sea_access,1.082.860.679,17758959,87.303,2
CHN,Asia,China,93782,4746,65.157,3.297,1439323774,147.674,38.7,10.641,5.929,15308.712,261.899,9.74,1.9,48.4,4.34,76.91,0.752,BRICS,comm,less,developing,sea_access,5.689.148.724,1364270000,54.259,4
COL,South America,Colombia,1384610,38158,27211.704,749.918,50882884,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,1.71,77.29,0.747,NC,pres_rep,highly,developing,sea_access,1.779.939.332,46969209,79.415,2
CRI,North America,Costa Rica,147430,1846,28941.245,362.379,5094114,96.079,33.6,9.468,5.694,15524.995,137.973,8.78,6.4,17.4,1.13,80.28,0.794,NC,pres_rep,less,developing,sea_access,1.393.834.003,4795396,75.941,2
CYP,Europe,Cyprus,13286,68,15168.416,77.635,875899,127.657,37.3,13.416,8.563,32415.132,141.171,9.24,19.6,52.7,3.4,80.98,0.869,NC,pres_rep,less,developing,sea_access,1.272.173.833,1152285,67.031,2
DEU,Europe,Germany,1229269,20002,14671.892,238.733,83783945,237.016,46.6,21.453,15.957,45229.245,156.139,8.31,28.2,33.1,8,81.33,0.936,OECD,par_rep,less,developed,sea_access,1.150.287.424,80982500,77.19,3
DNK,Europe,Denmark,95332,901,16458.677,155.554,5792203,136.52,42.3,19.677,12.325,46682.515,114.767,6.41,19.3,18.8,2.5,80.9,0.929,OECD,const_mon,less,developing,sea_access,1.568.526.713,5643475,87.41,3
DOM,North America,Dominican Republic,149630,2347,13793.448,216.355,10847904,222.873,27.6,6.981,4.419,14600.861,266.653,8.2,8.5,19.1,1.6,74.08,0.736,NC,pres_rep,highly,developing,islands,1.714.871.539,10165178,77.67,4
DZA,Africa,Algeria,89416,2539,2039.085,57.901,43851043,17.348,29.1,6.211,3.857,13913.839,278.364,6.73,0.7,30.4,1.9,76.88,0.754,NC,pres_rep,highly,developing,sea_access,1.021.273.579,38923687,70.221,4
ECU,South America,Ecuador,198752,13794,11265.166,781.837,17643060,66.939,28.1,7.104,4.458,10581.936,140.448,5.55,2,12.3,1.5,77.01,0.752,NC,pres_rep,highly,developing,sea_access,1.222.558.896,15951838,63.261,2
ESP,Europe,Spain,1702328,46646,36409.708,997.673,46754783,93.105,45.5,19.436,13.799,34272.36,99.403,7.17,27.4,31.4,2.97,83.56,0.891,OECD,const_mon,less,developed,sea_access,1.260.908.102,46480882,79.366,3
